Date,Cboe
2017-11-16,11.76000023
2017-11-17,11.43000031
2017-11-20,10.64999962
2017-11-21,9.729999542
2017-11-22,9.880000114
2017-11-24,9.670000076
2017-11-27,9.869999886
2017-11-28,10.02999973
2017-11-29,10.69999981
2017-11-30,11.27999973
2017-12-01,11.43000031
2017-12-04,11.68000031
2017-12-05,11.32999992
2017-12-06,11.02000046
2017-12-07,10.15999985
2017-12-08,9.579999924
2017-12-11,9.340000153
2017-12-12,9.920000076
2017-12-13,10.18000031
2017-12-14,10.48999977
2017-12-15,9.420000076
2017-12-18,9.529999733
2017-12-19,10.02999973
2017-12-20,9.720000267
2017-12-21,9.619999886
2017-12-22,9.899999619
2017-12-26,10.25
2017-12-27,10.47000027
2017-12-28,10.18000031
2017-12-29,11.03999996
2018-01-02,9.770000458
2018-01-03,9.149999619
2018-01-04,9.220000267
2018-01-05,9.220000267
2018-01-08,9.520000458
2018-01-09,10.07999992
2018-01-10,9.819999695
2018-01-11,9.880000114
2018-01-12,10.15999985
2018-01-16,11.65999985
2018-01-17,11.90999985
2018-01-18,12.22000027
2018-01-19,11.27000046
2018-01-22,11.02999973
2018-01-23,11.10000038
2018-01-24,11.47000027
2018-01-25,11.57999992
2018-01-26,11.07999992
2018-01-30,14.78999996
2018-01-31,13.53999996
2018-02-01,13.47000027
2018-02-02,17.30999947
2018-02-05,37.31999969
2018-02-06,29.97999954
2018-02-07,27.72999954
2018-02-08,33.45999908
2018-02-09,29.05999947
2018-02-12,25.61000061
2018-02-13,24.96999931
2018-02-14,19.26000023
2018-02-15,19.12999916
2018-02-16,19.45999908
2018-02-20,20.60000038
2018-02-21,20.02000046
2018-02-22,18.71999931
2018-02-23,16.48999977
2018-02-26,15.80000019
2018-02-27,18.59000015
2018-02-28,19.85000038
2018-03-01,22.46999931
2018-03-02,19.59000015
2018-03-05,18.72999954
2018-03-06,18.36000061
2018-03-07,17.76000023
2018-03-08,16.54000092
2018-03-09,14.64000034
2018-03-12,15.77999973
2018-03-13,16.35000038
2018-03-14,17.22999954
2018-03-15,16.59000015
2018-03-16,15.80000019
2018-03-19,19.02000046
2018-03-20,18.20000076
2018-03-21,17.86000061
2018-03-22,23.34000015
2018-03-23,24.87000084
2018-03-26,21.03000069
2018-03-27,22.5
2018-03-28,22.87000084
2018-03-29,19.96999931
2018-04-02,23.62000084
2018-04-03,21.10000038
2018-04-04,20.05999947
2018-04-05,18.94000053
2018-04-06,21.48999977
2018-04-09,21.77000046
2018-04-10,20.46999931
2018-04-11,20.23999977
2018-04-12,18.48999977
2018-04-13,17.40999985
2018-04-16,16.55999947
2018-04-17,15.25
2018-04-18,15.60000038
2018-04-19,15.96000004
2018-04-20,16.87999916
2018-04-23,16.34000015
2018-04-24,18.02000046
2018-04-25,17.84000015
2018-04-26,16.23999977
2018-04-27,15.40999985
2018-04-30,15.93000031
2018-05-01,15.48999977
2018-05-02,15.97000027
2018-05-03,15.89999962
