Date,Dollar
2018-01-16,90.38999939
2018-01-17,90.54000092
2018-01-18,90.5
2018-01-19,90.56999969
2018-01-22,90.40000153
2018-01-23,90.12000275
2018-01-24,89.20999908
2018-01-25,89.38999939
2018-01-26,89.06999969
2018-01-30,89.19000244
2018-01-31,89.12999725
2018-02-01,88.66999817
2018-02-02,89.19999695
2018-02-05,89.55000305
2018-02-06,89.58999634
2018-02-07,90.26000214
2018-02-08,90.23000336
2018-02-09,90.44000244
2018-02-12,90.20999908
2018-02-13,89.69999695
2018-02-14,89.12000275
2018-02-15,88.58999634
2018-02-16,89.09999847
2018-02-20,89.72000122
2018-02-21,90.08000183
2018-02-22,89.75
2018-02-23,89.87999725
2018-02-26,89.81999969
2018-02-27,90.36000061
2018-02-28,90.61000061
2018-03-01,90.31999969
2018-03-02,89.94000244
2018-03-05,90.08000183
2018-03-06,89.62000275
2018-03-07,89.63999939
2018-03-08,90.12000275
2018-03-09,90.08999634
2018-03-12,89.90000153
2018-03-13,89.66000366
2018-03-14,89.69999695
2018-03-15,90.13999939
2018-03-16,90.23000336
2018-03-19,89.90000153
2018-03-20,90.37000275
2018-03-21,89.77999878
2018-03-22,89.86000061
2018-03-23,89.44000244
2018-03-26,89.02999878
2018-03-27,89.37000275
2018-03-28,90.05999756
2018-03-29,90.15000153
2018-04-02,90.05000305
2018-04-03,90.19999695
2018-04-04,90.13999939
2018-04-05,90.45999908
2018-04-06,90.11000061
2018-04-09,89.83999634
2018-04-10,89.58999634
2018-04-11,89.56999969
2018-04-12,89.75
2018-04-13,89.80000305
2018-04-16,89.43000031
2018-04-17,89.51999664
2018-04-18,89.62000275
2018-04-19,89.94000244
2018-04-20,90.31999969
2018-04-23,90.94000244
2018-04-24,90.76999664
2018-04-25,91.16999817
2018-04-26,91.55999756
2018-04-27,91.54000092
2018-04-30,91.83999634
2018-05-01,92.44999695
2018-05-02,92.51000214
2018-05-03,92.41000366
2018-05-04,92.56999969
2018-05-07,92.75
2018-05-08,93.12000275
2018-05-09,93.04000092
2018-05-10,92.65000153
2018-05-11,92.54000092
2018-05-14,92.58999634
2018-05-15,93.22000122
2018-05-16,93.38999939
2018-05-17,93.47000122
2018-05-18,93.63999939
2018-05-21,93.68000031
2018-05-22,93.61000061
2018-05-23,94.01000214
2018-05-24,93.77999878
2018-05-25,94.19000244
2018-05-29,94.83000183
2018-05-30,94.15000153
2018-05-31,93.98999786
2018-06-01,94.19000244
2018-06-04,94.01999664
2018-06-05,93.88999939
2018-06-06,93.66000366
2018-06-07,93.40000153
2018-06-08,93.55000305
2018-06-11,93.58000183
2018-06-12,93.80000305
2018-06-13,93.70999908
2018-06-14,94.76999664
2018-06-15,94.79000092
2018-06-18,94.75
2018-06-19,95.08999634
2018-06-20,95.05999756
2018-06-21,94.87000275
2018-06-22,94.51999664
2018-06-25,94.27999878
2018-06-26,94.68000031
2018-06-27,95.29000092
2018-06-28,95.38999939
2018-06-29,94.62999725
2018-07-02,94.87000275
2018-07-03,94.58999634
2018-07-05,94.47000122
2018-07-06,94.04000092
2018-07-09,94.08000183
2018-07-10,94.11000061
2018-07-11,94.72000122
2018-07-12,94.80999756
2018-07-13,94.75
2018-07-16,94.51000214
2018-07-17,94.97000122
2018-07-18,95.08000183
2018-07-19,95.16999817
2018-07-20,94.45999908
2018-07-23,94.66999817
2018-07-24,94.61000061
2018-07-25,94.36000061
2018-07-26,94.75
2018-07-27,94.68000031
2018-07-30,94.36000061
2018-07-31,94.48999786
2018-08-01,94.62000275
2018-08-02,95.16999817
2018-08-03,95.13999939
2018-08-06,95.36000061
2018-08-07,95.22000122
2018-08-08,95.09999847
2018-08-09,95.5
2018-08-10,96.36000061
2018-08-13,96.38999939
2018-08-14,96.73000336
2018-08-15,96.69999695
2018-08-16,96.65000153
2018-08-17,96.09999847
2018-08-20,95.90000153
2018-08-21,95.26000214
2018-08-22,95.15000153
2018-08-23,95.62000275
2018-08-24,95.15000153
2018-08-27,94.77999878
2018-08-28,94.72000122
2018-08-29,94.59999847
2018-08-30,94.72000122
2018-08-31,95.13999939
2018-09-04,95.41999817
2018-09-05,95.12999725
2018-09-06,95.01999664
2018-09-07,95.37000275
2018-09-10,95.15000153
2018-09-11,95.05999756
2018-09-12,94.80000305
2018-09-13,94.54000092
2018-09-14,94.98000336
2018-09-17,94.51000214
2018-09-18,94.62000275
2018-09-19,94.55000305
2018-09-20,93.91000366
2018-09-21,94.22000122
2018-09-24,94.26000214
2018-09-25,94.12999725
2018-09-26,94.19000244
2018-09-27,95.0
2018-09-28,95.19000244
2018-10-01,95.30000305
2018-10-02,95.51000214
2018-10-03,95.76000214
2018-10-04,95.75
2018-10-05,95.62000275
2018-10-08,95.76999664
2018-10-09,95.68000031
2018-10-10,95.51000214
2018-10-11,95.01999664
2018-10-12,95.22000122
2018-10-15,95.06999969
2018-10-16,95.05000305
2018-10-17,95.58000183
2018-10-18,95.90000153
2018-10-19,95.70999908
2018-10-22,96.01000214
2018-10-23,95.95999908
2018-10-24,96.43000031
2018-10-25,96.68000031
2018-10-26,96.36000061
2018-10-29,96.58000183
2018-10-30,97.01000214
2018-10-31,97.12999725
2018-11-01,96.27999878
2018-11-02,96.54000092
2018-11-05,96.34999847
2018-11-06,96.31999969
2018-11-07,96.0
2018-11-08,96.63999939
2018-11-09,96.91000366
2018-11-12,97.54000092
2018-11-13,97.30000305
2018-11-14,96.80000305
2018-11-15,96.93000031
2018-11-16,96.47000122
2018-11-19,96.19000244
2018-11-20,96.80999756
2018-11-21,96.70999908
2018-11-23,96.91999817
2018-11-26,97.06999969
2018-11-27,97.37000275
2018-11-28,96.79000092
2018-11-29,96.77999878
2018-11-30,97.26999664
2018-12-03,97.04000092
2018-12-04,96.97000122
2018-12-06,96.80999756
2018-12-07,96.51000214
2018-12-10,97.22000122
2018-12-11,97.38999939
2018-12-12,97.04000092
2018-12-13,97.05999756
2018-12-14,97.44000244
2018-12-17,97.09999847
2018-12-18,97.13999939
2018-12-19,97.04000092
2018-12-20,96.27999878
2018-12-21,96.95999908
2018-12-24,96.55000305
2018-12-26,97.05000305
2018-12-27,96.48000336
2018-12-28,96.38999939
2018-12-31,96.16999817
2019-01-02,96.81999969
2019-01-03,96.30999756
