Date,Gold
3/29/2018,1322.800049
4/2/2018,1342.099976
4/3/2018,1332.800049
4/4/2018,1335.800049
4/5/2018,1324.300049
4/6/2018,1331.900024
4/9/2018,1336.300049
4/10/2018,1342.0
4/11/2018,1356.5
4/12/2018,1338.400024
4/13/2018,1344.800049
4/16/2018,1347.5
4/17/2018,1347.199951
4/18/2018,1351.199951
4/19/2018,1346.800049
4/20/2018,1336.699951
4/23/2018,1322.5
4/24/2018,1331.400024
4/25/2018,1321.199951
4/26/2018,1316.300049
4/27/2018,1320.300049
4/30/2018,1316.199951
5/1/2018,1303.800049
5/2/2018,1302.599976
5/3/2018,1310.699951
5/4/2018,1312.699951
5/7/2018,1312.199951
5/8/2018,1312.0
5/9/2018,1311.300049
5/10/2018,1320.800049
5/11/2018,1319.0
5/14/2018,1316.5
5/15/2018,1288.900024
5/16/2018,1290.199951
5/17/2018,1288.199951
5/18/2018,1290.199951
5/21/2018,1290.199951
5/22/2018,1291.699951
5/23/2018,1289.300049
5/24/2018,1303.699951
5/25/2018,1303.300049
5/29/2018,1298.699951
5/30/2018,1301.5
5/31/2018,1300.099976
6/1/2018,1294.800049
6/4/2018,1293.099976
6/5/2018,1297.5
6/6/2018,1297.099976
6/7/2018,1298.699951
6/8/2018,1298.099976
6/11/2018,1298.900024
6/12/2018,1295.099976
6/13/2018,1296.900024
6/14/2018,1304.0
6/15/2018,1274.599976
6/18/2018,1276.199951
6/19/2018,1275.599976
6/20/2018,1271.199951
6/21/2018,1267.199951
6/22/2018,1267.400024
6/25/2018,1265.599976
6/26/2018,1256.599976
6/27/2018,1252.800049
6/28/2018,1247.800049
6/29/2018,1251.300049
7/2/2018,1239.800049
7/3/2018,1251.599976
7/5/2018,1257.300049
7/6/2018,1254.300049
7/9/2018,1258.099976
7/10/2018,1253.800049
7/11/2018,1242.800049
7/12/2018,1245.0
7/13/2018,1239.599976
7/16/2018,1238.099976
7/17/2018,1225.699951
7/18/2018,1226.300049
7/19/2018,1222.400024
7/20/2018,1229.5
7/23/2018,1224.0
7/24/2018,1223.900024
7/25/2018,1231.400024
7/26/2018,1225.300049
7/27/2018,1222.599976
7/30/2018,1221.300049
7/31/2018,1223.699951
8/1/2018,1217.900024
8/2/2018,1210.599976
8/3/2018,1214.199951
8/6/2018,1208.599976
8/7/2018,1209.599976
8/8/2018,1212.599976
8/9/2018,1211.900024
8/10/2018,1211.099976
8/13/2018,1191.300049
8/14/2018,1193.0
8/15/2018,1177.5
8/16/2018,1176.199951
8/17/2018,1176.5
8/20/2018,1186.800049
8/21/2018,1192.599976
8/22/2018,1196.300049
8/23/2018,1187.0
8/24/2018,1206.300049
8/27/2018,1209.0
8/28/2018,1207.400024
8/29/2018,1204.5
8/30/2018,1197.699951
8/31/2018,1200.300049
9/4/2018,1192.699951
9/5/2018,1194.900024
9/6/2018,1197.900024
9/7/2018,1193.599976
9/10/2018,1193.0
9/11/2018,1195.400024
9/12/2018,1204.699951
9/13/2018,1202.0
9/14/2018,1195.0
9/17/2018,1199.699951
9/18/2018,1196.800049
9/19/2018,1202.199951
9/20/2018,1206.199951
9/21/2018,1196.199951
9/24/2018,1199.300049
9/25/2018,1200.0
9/26/2018,1194.0
9/27/2018,1182.300049
9/28/2018,1191.5
10/1/2018,1187.099976
10/2/2018,1202.400024
10/3/2018,1198.300049
10/4/2018,1197.199951
10/5/2018,1201.199951
10/8/2018,1184.400024
10/9/2018,1187.199951
10/10/2018,1189.300049
10/11/2018,1223.5
10/12/2018,1218.099976
10/15/2018,1226.400024
10/16/2018,1227.300049
10/17/2018,1223.699951
10/18/2018,1226.5
10/19/2018,1225.300049
10/22/2018,1221.199951
10/23/2018,1233.400024
10/24/2018,1227.800049
10/25/2018,1229.099976
10/26/2018,1232.5
10/29/2018,1224.5
10/30/2018,1222.599976
10/31/2018,1212.300049
11/1/2018,1236.0
11/2/2018,1230.900024
11/5/2018,1229.800049
11/6/2018,1223.800049
11/7/2018,1226.199951
11/8/2018,1222.900024
11/9/2018,1206.400024
11/12/2018,1201.300049
11/13/2018,1199.199951
11/14/2018,1207.900024
11/15/2018,1212.800049
11/16/2018,1220.800049
11/19/2018,1223.099976
11/20/2018,1219.0
11/21/2018,1225.800049
11/23/2018,1221.0
11/26/2018,1220.199951
11/27/2018,1211.199951
11/28/2018,1221.400024
11/29/2018,1224.099976
11/30/2018,1220.199951
12/3/2018,1233.900024
12/4/2018,1241.099976
12/6/2018,1238.099976
12/7/2018,1246.800049
12/10/2018,1243.699951
12/11/2018,1241.900024
12/12/2018,1244.400024
12/13/2018,1242.699951
12/14/2018,1237.0
12/17/2018,1247.400024
12/18/2018,1249.199951
12/19/2018,1252.099976
12/20/2018,1263.599976
12/21/2018,1253.800049
12/24/2018,1267.5
12/26/2018,1269.199951
12/27/2018,1277.300049
12/28/2018,1279.900024
12/31/2018,1278.300049
1/2/2019,1281.0
1/3/2019,1291.800049
1/4/2019,1282.699951
1/7/2019,1286.800049
1/8/2019,1283.199951
1/9/2019,1289.300049
1/10/2019,1284.699951
1/11/2019,1287.099976
1/14/2019,1289.099976
1/15/2019,1286.199951
1/16/2019,1291.599976
1/17/2019,1291.0
