Date,Cpi
11/15/2018,252.657
11/16/2018,252.657
11/19/2018,252.657
11/20/2018,252.657
11/21/2018,252.657
11/23/2018,252.657
11/26/2018,252.657
11/27/2018,252.657
11/28/2018,252.657
11/29/2018,252.657
11/30/2018,252.657
12/3/2018,252.551
12/4/2018,252.551
12/6/2018,252.551
12/7/2018,252.551
12/10/2018,252.551
12/11/2018,252.551
12/12/2018,252.551
12/13/2018,252.551
12/14/2018,252.551
12/17/2018,252.551
12/18/2018,252.551
12/19/2018,252.551
12/20/2018,252.551
12/21/2018,252.551
12/24/2018,252.551
12/26/2018,252.551
12/27/2018,252.551
12/28/2018,252.551
12/31/2018,252.551
1/2/2019,252.47
1/3/2019,252.47
1/4/2019,252.47
1/7/2019,252.47
1/8/2019,252.47
1/9/2019,252.47
1/10/2019,252.47
1/11/2019,252.47
1/14/2019,252.47
1/15/2019,252.47
1/16/2019,252.47
1/17/2019,252.47
1/18/2019,252.47
1/22/2019,252.47
1/23/2019,252.47
1/24/2019,252.47
1/25/2019,252.47
1/28/2019,252.47
1/29/2019,252.47
1/30/2019,252.47
1/31/2019,252.47
2/1/2019,253.135
2/4/2019,253.135
2/5/2019,253.135
2/6/2019,253.135
2/7/2019,253.135
2/8/2019,253.135
2/11/2019,253.135
2/12/2019,253.135
2/13/2019,253.135
2/14/2019,253.135
2/15/2019,253.135
2/19/2019,253.135
2/20/2019,253.135
2/21/2019,253.135
2/22/2019,253.135
2/25/2019,253.135
2/26/2019,253.135
2/27/2019,253.135
2/28/2019,253.135
3/1/2019,254.273
3/4/2019,254.273
3/5/2019,254.273
3/6/2019,254.273
3/7/2019,254.273
3/8/2019,254.273
3/11/2019,254.273
3/12/2019,254.273
3/13/2019,254.273
3/14/2019,254.273
3/15/2019,254.273
3/18/2019,254.273
3/19/2019,254.273
3/20/2019,254.273
3/21/2019,254.273
3/22/2019,254.273
3/25/2019,254.273
3/26/2019,254.273
3/27/2019,254.273
3/28/2019,254.273
3/29/2019,254.273
4/1/2019,255.163
4/2/2019,255.163
4/3/2019,255.163
4/4/2019,255.163
4/5/2019,255.163
4/8/2019,255.163
4/9/2019,255.163
4/10/2019,255.163
4/11/2019,255.163
4/12/2019,255.163
4/15/2019,255.163
4/16/2019,255.163
4/17/2019,255.163
4/18/2019,255.163
4/22/2019,255.163
4/23/2019,255.163
4/24/2019,255.163
4/25/2019,255.163
4/26/2019,255.163
4/29/2019,255.163
4/30/2019,255.163
5/1/2019,255.325
5/2/2019,255.325
5/3/2019,255.325
5/6/2019,255.325
5/7/2019,255.325
5/8/2019,255.325
5/9/2019,255.325
5/10/2019,255.325
5/13/2019,255.325
5/14/2019,255.325
5/15/2019,255.325
5/16/2019,255.325
5/17/2019,255.325
5/20/2019,255.325
5/21/2019,255.325
5/22/2019,255.325
5/23/2019,255.325
5/24/2019,255.325
5/28/2019,255.325
5/29/2019,255.325
5/30/2019,255.325
5/31/2019,255.325
6/3/2019,255.361
6/4/2019,255.361
6/5/2019,255.361
6/6/2019,255.361
6/7/2019,255.361
6/10/2019,255.361
6/11/2019,255.361
6/12/2019,255.361
6/13/2019,255.361
6/14/2019,255.361
6/17/2019,255.361
6/18/2019,255.361
6/19/2019,255.361
6/20/2019,255.361
6/21/2019,255.361
6/24/2019,255.361
6/25/2019,255.361
6/26/2019,255.361
6/27/2019,255.361
6/28/2019,255.361
7/1/2019,255.9
7/2/2019,255.9
7/3/2019,255.9
7/5/2019,255.9
7/8/2019,255.9
7/9/2019,255.9
7/10/2019,255.9
7/11/2019,255.9
7/12/2019,255.9
7/15/2019,255.9
7/16/2019,255.9
7/17/2019,255.9
7/18/2019,255.9
7/19/2019,255.9
7/22/2019,255.9
7/23/2019,255.9
7/24/2019,255.9
7/25/2019,255.9
7/26/2019,255.9
7/29/2019,255.9
7/30/2019,255.9
7/31/2019,255.9
8/1/2019,256.179
8/2/2019,256.179
8/5/2019,256.179
8/6/2019,256.179
8/7/2019,256.179
8/8/2019,256.179
8/9/2019,256.179
8/12/2019,256.179
8/13/2019,256.179
8/14/2019,256.179
8/15/2019,256.179
8/16/2019,256.179
8/19/2019,256.179
8/20/2019,256.179
8/21/2019,256.179
8/22/2019,256.179
8/23/2019,256.179
8/26/2019,256.179
8/27/2019,256.179
8/28/2019,256.179
8/29/2019,256.179
8/30/2019,256.179
9/3/2019,256.596
9/4/2019,256.596
9/5/2019,256.596
9/6/2019,256.596
9/9/2019,256.596
9/10/2019,256.596
9/11/2019,256.596
9/12/2019,256.596
9/13/2019,256.596
9/16/2019,256.596
9/17/2019,256.596
9/18/2019,256.596
9/19/2019,256.596
9/20/2019,256.596
9/23/2019,256.596
9/24/2019,256.596
9/25/2019,256.596
9/26/2019,256.596
9/27/2019,256.596
9/30/2019,256.596
10/1/2019,257.305
10/2/2019,257.305
10/3/2019,257.305
